country,totalCases,totalDeaths,totalRecovered,percentDeaths,percentRecovered,rankPercentRecovered,rankPercentDeaths
USA,107969972.0,1173394.0,105906752.0,1.0867780904861215,98.08907980452194,108,128
India,44996963.0,531928.0,44463533.0,1.182142003672559,98.81451999327155,75,135
France,40138560.0,167642.0,39970918.0,0.41765823188475126,99.58234176811524,22,52
Germany,38428685.0,174352.0,38240600.0,0.4537027483506136,99.51056092603741,24,56
Brazil,37758545.0,705170.0,36249161.0,1.8675772596640046,96.00253664435428,154,175
S. Korea,34179800.0,35687.0,33701683.0,0.10440962205747253,98.60117086700332,89,12
Japan,33803572.0,74694.0,,0.2209648140143296,-1.0,-1,31
Italy,25940840.0,191211.0,25629876.0,0.7371041184479762,98.80125701403657,76,97
UK,24671491.0,228707.0,24428140.0,0.927009235072173,99.01363480626283,64,116
Russia,22986528.0,399972.0,22439760.0,1.7400278980801276,97.62135456037554,126,166
Turkey,17232066.0,102174.0,,0.59292948390518,-1.0,-1,74
Spain,13914811.0,121760.0,13762417.0,0.8750388345195634,98.90480725897032,69,110
Australia,11747594.0,22581.0,11719547.0,0.1922180831240848,99.76125324045077,10,26
Vietnam,11622730.0,43206.0,10640479.0,0.3717371047937963,91.5488787918157,171,46
Taiwan,10241520.0,19005.0,10222514.0,0.1855681578515689,99.8144220779728,6,23
Argentina,10061739.0,130568.0,9930223.0,1.297668325525041,98.69290984391466,85,149
Netherlands,8610372.0,22992.0,8587380.0,0.26702679048013256,99.73297320951987,12,36
Mexico,7633355.0,334336.0,6885378.0,4.379935166122891,90.2012024856698,173,218
Iran,7613532.0,146321.0,7374684.0,1.9218544034490168,96.86284893791738,142,177
Indonesia,6813095.0,161916.0,6646293.0,2.376541058065387,97.5517441045516,127,198
Poland,6518800.0,119638.0,5335940.0,1.8352764312450143,81.85463582254403,185,172
Colombia,6378000.0,142961.0,6190683.0,2.2414706804640954,97.06307619943556,140,194
Greece,6101379.0,37089.0,6064290.0,0.6078789729338236,99.39212102706617,32,75
Austria,6081287.0,22542.0,6054934.0,0.3706781146819744,99.56665422960633,23,45
Portugal,5601153.0,27094.0,5569326.0,0.48372183370102545,99.43177770719707,30,61
Ukraine,5557995.0,112418.0,5445577.0,2.0226358605936134,97.97736413940639,113,183
Chile,5290820.0,64497.0,5226068.0,1.2190359906403923,98.77614434057482,78,143
Malaysia,5123264.0,37165.0,5073384.0,0.7254164532610461,99.02640191877678,62,91
Israel,4833089.0,12625.0,4798473.0,0.26122010167824344,99.28377068992522,38,35
Belgium,4805710.0,34376.0,4768120.0,0.7153157389854985,99.2178054855578,46,88
DPRK,4772813.0,74.0,4772739.0,0.0015504483414707426,99.99844955165852,3,1
Thailand,4756150.0,34453.0,4692636.0,0.7243884234096906,98.6645921596249,87,90
Canada,4703476.0,53299.0,4643932.0,1.133183203230972,98.73404265271046,81,130
Czechia,4644010.0,42815.0,4600712.0,0.9219403058994274,99.06765919970026,57,114
Peru,4518506.0,221645.0,4296533.0,4.90527178673659,95.08746917675886,161,220
Switzerland,4409089.0,14452.0,4393116.0,0.3277774615118906,99.6377256163348,17,41
Philippines,4174101.0,66643.0,4103828.0,1.5965833121910564,98.31645185394412,98,161
South Africa,4076463.0,102595.0,3912506.0,2.5167651466479644,95.97795932405127,156,204
Romania,3413851.0,68266.0,3342637.0,1.9996771973937937,97.91396871158115,116,182
Denmark,3183160.0,8790.0,3173928.0,0.27614069038314126,99.70997373678986,14,37
Hong Kong,2917331.0,13819.0,2901249.0,0.4736863934877462,99.44874270351907,27,59
Sweden,2714519.0,24755.0,2688821.0,0.9119479362642147,99.05331294420853,59,113
Singapore,2549083.0,1875.0,2149583.0,0.07355586302996019,84.32769745041648,184,9
Serbia,2544952.0,18057.0,2526895.0,0.7095222228159902,99.29047777718401,36,86
Iraq,2465545.0,25375.0,2439497.0,1.029184216876999,98.9435195869473,67,123
New Zealand,2450818.0,4701.0,2443623.0,0.19181350879583878,99.70642454886492,15,25
Hungary,2203356.0,48881.0,2152155.0,2.2184794468075064,97.67622662883348,124,192
